,sepal_length,sepal_width,petal_length,petal_width,species
138,1,NA,NA,NA,138
139,1,NA,NA,NA,139
140,1,NA,NA,NA,140
141,1,NA,NA,NA,141
142,1,NA,NA,NA,142
143,1,NA,NA,NA,143
144,4,NA,NA,NA,144
145,1,NA,NA,NA,145
146,4,NA,NA,NA,146
147,4,NA,NA,NA,147
148,4,NA,NA,NA,148
149,2,NA,NA,NA,149
150,2,NA,NA,NA,150
151,3,NA,NA,NA,151
152,4,NA,NA,NA,152
153,3,NA,NA,NA,153
154,1,NA,NA,NA,154
155,2,NA,NA,NA,155
156,4,NA,NA,NA,156
157,3,NA,NA,NA,157
158,2,NA,NA,NA,158
159,4,NA,NA,NA,159
160,3,NA,NA,NA,160
161,1,NA,NA,NA,161
162,3,NA,NA,NA,162
163,2,NA,NA,NA,163
164,4,NA,NA,NA,164
165,1,NA,NA,NA,165
166,1,NA,NA,NA,166
167,1,NA,NA,NA,167
168,1,NA,NA,NA,168
169,3,NA,NA,NA,169
170,2,NA,NA,NA,170
171,4,NA,NA,NA,171
172,3,NA,NA,NA,172
173,3,NA,NA,NA,173
174,3,NA,NA,NA,174
175,3,NA,NA,NA,175
176,2,NA,NA,NA,176
177,1,NA,NA,NA,177
178,1,NA,NA,NA,178
179,1,NA,NA,NA,179
180,3,NA,NA,NA,180
181,1,NA,NA,NA,181
182,4,NA,NA,NA,182
183,3,NA,NA,NA,183
184,2,NA,NA,NA,184
185,4,NA,NA,NA,185
186,1,NA,NA,NA,186
187,2,NA,NA,NA,187
188,2,NA,NA,NA,188
189,4,NA,NA,NA,189
190,2,NA,NA,NA,190
191,4,NA,NA,NA,191
192,3,NA,NA,NA,192
193,1,NA,NA,NA,193
194,2,NA,NA,NA,194
195,4,NA,NA,NA,195
196,3,NA,NA,NA,196
197,4,NA,NA,NA,197
198,4,NA,NA,NA,198
199,3,NA,NA,NA,199
200,2,NA,NA,NA,200
201,2,NA,NA,NA,201
202,4,NA,NA,NA,202
203,4,NA,NA,NA,203
204,2,NA,NA,NA,204
205,3,NA,NA,NA,205
206,3,NA,NA,NA,206
207,2,NA,NA,NA,207
208,4,NA,NA,NA,208
209,3,NA,NA,NA,209
210,1,NA,NA,NA,210
211,1,NA,NA,NA,211
212,2,NA,NA,NA,212
213,3,NA,NA,NA,213
214,1,NA,NA,NA,214
215,4,NA,NA,NA,215
216,1,NA,NA,NA,216
217,3,NA,NA,NA,217
218,3,NA,NA,NA,218
219,2,NA,NA,NA,219
220,3,NA,NA,NA,220
221,3,NA,NA,NA,221
222,2,NA,NA,NA,222
223,3,NA,NA,NA,223
224,3,NA,NA,NA,224
225,3,NA,NA,NA,225
226,3,NA,NA,NA,226
227,3,NA,NA,NA,227
228,4,NA,NA,NA,228
229,4,NA,NA,NA,229
230,1,NA,NA,NA,230
231,1,NA,NA,NA,231
232,2,NA,NA,NA,232
233,4,NA,NA,NA,233
234,3,NA,NA,NA,234
235,1,NA,NA,NA,235
236,4,NA,NA,NA,236
237,3,NA,NA,NA,237
238,3,NA,NA,NA,238
239,3,NA,NA,NA,239
240,2,NA,NA,NA,240
241,2,NA,NA,NA,241
242,3,NA,NA,NA,242
243,1,NA,NA,NA,243
244,1,NA,NA,NA,244
245,3,NA,NA,NA,245
246,2,NA,NA,NA,246
247,4,NA,NA,NA,247
248,3,NA,NA,NA,248
249,4,NA,NA,NA,249
250,2,NA,NA,NA,250
251,4,NA,NA,NA,251
252,4,NA,NA,NA,252
253,1,NA,NA,NA,253
254,3,NA,NA,NA,254
255,4,NA,NA,NA,255
256,3,NA,NA,NA,256
257,2,NA,NA,NA,257
258,4,NA,NA,NA,258
259,1,NA,NA,NA,259
260,3,NA,NA,NA,260
261,4,NA,NA,NA,261
262,2,NA,NA,NA,262
263,4,NA,NA,NA,263
264,3,NA,NA,NA,264
265,3,NA,NA,NA,265
266,2,NA,NA,NA,266
267,4,NA,NA,NA,267
268,4,NA,NA,NA,268
269,2,NA,NA,NA,269
270,3,NA,NA,NA,270
271,3,NA,NA,NA,271
272,4,NA,NA,NA,272
273,1,NA,NA,NA,273
274,2,NA,NA,NA,274
275,4,NA,NA,NA,275
276,2,NA,NA,NA,276
277,3,NA,NA,NA,277
278,3,NA,NA,NA,278
279,1,NA,NA,NA,279
280,1,NA,NA,NA,280
281,3,NA,NA,NA,281
282,1,NA,NA,NA,282
283,1,NA,NA,NA,283
284,2,NA,NA,NA,284
285,2,NA,NA,NA,285
286,4,NA,NA,NA,286
287,4,NA,NA,NA,287
288,3,NA,NA,NA,288
289,2,NA,NA,NA,289
290,4,NA,NA,NA,290
291,3,NA,NA,NA,291
292,3,NA,NA,NA,292
293,1,NA,NA,NA,293
294,1,NA,NA,NA,294
295,3,NA,NA,NA,295
296,1,NA,NA,NA,296
297,3,NA,NA,NA,297
298,1,NA,NA,NA,298
299,1,NA,NA,NA,299
300,2,NA,NA,NA,300
301,4,NA,NA,NA,301
302,3,NA,NA,NA,302
303,2,NA,NA,NA,303
304,4,NA,NA,NA,304
305,2,NA,NA,NA,305
306,1,NA,NA,NA,306
307,3,NA,NA,NA,307
308,2,NA,NA,NA,308
309,1,NA,NA,NA,309
310,4,NA,NA,NA,310
311,4,NA,NA,NA,311
312,3,NA,NA,NA,312
313,3,NA,NA,NA,313
314,3,NA,NA,NA,314
315,4,NA,NA,NA,315
316,3,NA,NA,NA,316
317,1,NA,NA,NA,317
318,4,NA,NA,NA,318
319,1,NA,NA,NA,319
320,4,NA,NA,NA,320
321,4,NA,NA,NA,321
322,4,NA,NA,NA,322
323,4,NA,NA,NA,323
324,3,NA,NA,NA,324
325,1,NA,NA,NA,325
326,3,NA,NA,NA,326
327,1,NA,NA,NA,327
328,4,NA,NA,NA,328
329,4,NA,NA,NA,329
330,2,NA,NA,NA,330
331,3,NA,NA,NA,331
332,2,NA,NA,NA,332
333,4,NA,NA,NA,333
334,3,NA,NA,NA,334
335,4,NA,NA,NA,335
336,1,NA,NA,NA,336
337,4,NA,NA,NA,337
338,1,NA,NA,NA,338
339,1,NA,NA,NA,339
340,3,NA,NA,NA,340
341,1,NA,NA,NA,341
342,4,NA,NA,NA,342
343,4,NA,NA,NA,343
344,3,NA,NA,NA,344
345,3,NA,NA,NA,345
346,3,NA,NA,NA,346
347,1,NA,NA,NA,347
348,2,NA,NA,NA,348
349,1,NA,NA,NA,349
350,2,NA,NA,NA,350
351,4,NA,NA,NA,351
352,3,NA,NA,NA,352
353,3,NA,NA,NA,353
354,4,NA,NA,NA,354
355,4,NA,NA,NA,355
356,4,NA,NA,NA,356
357,2,NA,NA,NA,357
358,1,NA,NA,NA,358
359,3,NA,NA,NA,359
360,4,NA,NA,NA,360
361,4,NA,NA,NA,361
362,3,NA,NA,NA,362
363,1,NA,NA,NA,363
364,2,NA,NA,NA,364
365,3,NA,NA,NA,365
366,4,NA,NA,NA,366
367,2,NA,NA,NA,367
368,1,NA,NA,NA,368
369,4,NA,NA,NA,369
370,1,NA,NA,NA,370
371,3,NA,NA,NA,371
372,2,NA,NA,NA,372
373,2,NA,NA,NA,373
374,4,NA,NA,NA,374
375,2,NA,NA,NA,375
376,1,NA,NA,NA,376
377,1,NA,NA,NA,377
378,3,NA,NA,NA,378
379,2,NA,NA,NA,379
380,3,NA,NA,NA,380
381,3,NA,NA,NA,381
382,1,NA,NA,NA,382
383,2,NA,NA,NA,383
384,1,NA,NA,NA,384
385,4,NA,NA,NA,385
386,4,NA,NA,NA,386
387,3,NA,NA,NA,387
388,2,NA,NA,NA,388
389,2,NA,NA,NA,389
390,3,NA,NA,NA,390
391,1,NA,NA,NA,391
392,3,NA,NA,NA,392
393,2,NA,NA,NA,393
394,4,NA,NA,NA,394
395,4,NA,NA,NA,395
396,2,NA,NA,NA,396
397,1,NA,NA,NA,397
398,1,NA,NA,NA,398
399,3,NA,NA,NA,399
400,1,NA,NA,NA,400
401,3,NA,NA,NA,401
402,1,NA,NA,NA,402
403,3,NA,NA,NA,403
404,4,NA,NA,NA,404
405,1,NA,NA,NA,405
406,1,NA,NA,NA,406
407,2,NA,NA,NA,407
408,4,NA,NA,NA,408
409,2,NA,NA,NA,409
410,3,NA,NA,NA,410
411,3,NA,NA,NA,411
412,1,NA,NA,NA,412
413,4,NA,NA,NA,413
414,1,NA,NA,NA,414
415,1,NA,NA,NA,415
416,1,NA,NA,NA,416
417,3,NA,NA,NA,417
418,1,NA,NA,NA,418
419,1,NA,NA,NA,419
420,1,NA,NA,NA,420
421,4,NA,NA,NA,421
422,3,NA,NA,NA,422
423,4,NA,NA,NA,423
424,1,NA,NA,NA,424
425,3,NA,NA,NA,425
426,2,NA,NA,NA,426
427,1,NA,NA,NA,427
428,4,NA,NA,NA,428
429,4,NA,NA,NA,429
430,3,NA,NA,NA,430
431,4,NA,NA,NA,431
432,4,NA,NA,NA,432
433,4,NA,NA,NA,433
434,1,NA,NA,NA,434
435,3,NA,NA,NA,435
436,1,NA,NA,NA,436
437,4,NA,NA,NA,437
438,1,NA,NA,NA,438
439,1,NA,NA,NA,439
440,4,NA,NA,NA,440
441,4,NA,NA,NA,441
442,2,NA,NA,NA,442
443,1,NA,NA,NA,443
444,3,NA,NA,NA,444
445,3,NA,NA,NA,445
446,4,NA,NA,NA,446
447,4,NA,NA,NA,447
448,3,NA,NA,NA,448
449,1,NA,NA,NA,449
450,2,NA,NA,NA,450
451,1,NA,NA,NA,451
452,2,NA,NA,NA,452
453,1,NA,NA,NA,453
454,3,NA,NA,NA,454
455,1,NA,NA,NA,455
456,1,NA,NA,NA,456
457,1,NA,NA,NA,457
458,4,NA,NA,NA,458
459,1,NA,NA,NA,459
460,4,NA,NA,NA,460
461,4,NA,NA,NA,461
462,1,NA,NA,NA,462
463,1,NA,NA,NA,463
464,2,NA,NA,NA,464
465,1,NA,NA,NA,465
466,2,NA,NA,NA,466
467,4,NA,NA,NA,467
468,4,NA,NA,NA,468
469,1,NA,NA,NA,469
470,1,NA,NA,NA,470
471,2,NA,NA,NA,471
472,1,NA,NA,NA,472
473,1,NA,NA,NA,473
474,2,NA,NA,NA,474
475,4,NA,NA,NA,475
476,3,NA,NA,NA,476
477,3,NA,NA,NA,477
478,4,NA,NA,NA,478
479,3,NA,NA,NA,479
480,2,NA,NA,NA,480
481,4,NA,NA,NA,481
482,1,NA,NA,NA,482
483,1,NA,NA,NA,483
484,2,NA,NA,NA,484
485,4,NA,NA,NA,485
486,4,NA,NA,NA,486
487,4,NA,NA,NA,487
488,1,NA,NA,NA,488
489,2,NA,NA,NA,489
490,4,NA,NA,NA,490
491,4,NA,NA,NA,491
492,4,NA,NA,NA,492
493,1,NA,NA,NA,493
494,4,NA,NA,NA,494
495,1,NA,NA,NA,495
496,1,NA,NA,NA,496
497,4,NA,NA,NA,497
498,1,NA,NA,NA,498
499,3,NA,NA,NA,499
500,2,NA,NA,NA,500
501,2,NA,NA,NA,501
502,3,NA,NA,NA,502
503,3,NA,NA,NA,503
504,3,NA,NA,NA,504
505,1,NA,NA,NA,505
506,4,NA,NA,NA,506
507,4,NA,NA,NA,507
508,3,NA,NA,NA,508
509,2,NA,NA,NA,509
510,2,NA,NA,NA,510
511,2,NA,NA,NA,511
512,1,NA,NA,NA,512
513,1,NA,NA,NA,513
514,4,NA,NA,NA,514
515,2,NA,NA,NA,515
516,1,NA,NA,NA,516
517,1,NA,NA,NA,517
518,1,NA,NA,NA,518
519,1,NA,NA,NA,519
520,3,NA,NA,NA,520
521,1,NA,NA,NA,521
522,4,NA,NA,NA,522
523,2,NA,NA,NA,523
524,4,NA,NA,NA,524
525,2,NA,NA,NA,525
526,4,NA,NA,NA,526
527,4,NA,NA,NA,527
528,3,NA,NA,NA,528
529,2,NA,NA,NA,529
530,1,NA,NA,NA,530
531,4,NA,NA,NA,531
532,1,NA,NA,NA,532
533,2,NA,NA,NA,533
534,1,NA,NA,NA,534
535,1,NA,NA,NA,535
536,4,NA,NA,NA,536
537,2,NA,NA,NA,537
538,2,NA,NA,NA,538
539,2,NA,NA,NA,539
540,4,NA,NA,NA,540
541,1,NA,NA,NA,541
542,1,NA,NA,NA,542
543,2,NA,NA,NA,543
544,4,NA,NA,NA,544
545,3,NA,NA,NA,545
546,3,NA,NA,NA,546
547,4,NA,NA,NA,547
548,4,NA,NA,NA,548
549,1,NA,NA,NA,549
550,1,NA,NA,NA,550
551,1,NA,NA,NA,551
552,4,NA,NA,NA,552
553,4,NA,NA,NA,553
554,3,NA,NA,NA,554
555,3,NA,NA,NA,555
556,2,NA,NA,NA,556
557,3,NA,NA,NA,557
558,4,NA,NA,NA,558
559,4,NA,NA,NA,559
560,4,NA,NA,NA,560
561,4,NA,NA,NA,561
562,1,NA,NA,NA,562
563,2,NA,NA,NA,563
564,4,NA,NA,NA,564
565,3,NA,NA,NA,565
566,1,NA,NA,NA,566
567,4,NA,NA,NA,567
568,2,NA,NA,NA,568
569,4,NA,NA,NA,569
570,1,NA,NA,NA,570
571,2,NA,NA,NA,571
572,2,NA,NA,NA,572
573,3,NA,NA,NA,573
574,1,NA,NA,NA,574
575,3,NA,NA,NA,575
576,3,NA,NA,NA,576
577,2,NA,NA,NA,577
578,2,NA,NA,NA,578
579,3,NA,NA,NA,579
580,4,NA,NA,NA,580
581,1,NA,NA,NA,581
582,4,NA,NA,NA,582
583,3,NA,NA,NA,583
584,4,NA,NA,NA,584
585,3,NA,NA,NA,585
586,4,NA,NA,NA,586
587,1,NA,NA,NA,587
588,2,NA,NA,NA,588
589,4,NA,NA,NA,589
590,1,NA,NA,NA,590
591,4,NA,NA,NA,591
592,1,NA,NA,NA,592
593,3,NA,NA,NA,593
594,1,NA,NA,NA,594
595,3,NA,NA,NA,595
596,2,NA,NA,NA,596
597,3,NA,NA,NA,597
598,2,NA,NA,NA,598
599,2,NA,NA,NA,599
600,1,NA,NA,NA,600
601,4,NA,NA,NA,601
602,3,NA,NA,NA,602
603,4,NA,NA,NA,603
604,4,NA,NA,NA,604
605,2,NA,NA,NA,605
606,4,NA,NA,NA,606
607,4,NA,NA,NA,607
608,3,NA,NA,NA,608
609,3,NA,NA,NA,609
610,2,NA,NA,NA,610
611,2,NA,NA,NA,611
612,1,NA,NA,NA,612
613,1,NA,NA,NA,613
614,1,NA,NA,NA,614
615,3,NA,NA,NA,615
616,4,NA,NA,NA,616
617,4,NA,NA,NA,617
618,2,NA,NA,NA,618
619,3,NA,NA,NA,619
620,2,NA,NA,NA,620
621,2,NA,NA,NA,621
622,4,NA,NA,NA,622
623,1,NA,NA,NA,623
624,2,NA,NA,NA,624
625,3,NA,NA,NA,625
626,3,NA,NA,NA,626
627,2,NA,NA,NA,627
628,4,NA,NA,NA,628
629,3,NA,NA,NA,629
630,2,NA,NA,NA,630
631,4,NA,NA,NA,631
632,1,NA,NA,NA,632
633,3,NA,NA,NA,633
634,1,NA,NA,NA,634
635,3,NA,NA,NA,635
636,4,NA,NA,NA,636
637,2,NA,NA,NA,637
638,4,NA,NA,NA,638
639,4,NA,NA,NA,639
640,2,NA,NA,NA,640
641,4,NA,NA,NA,641
642,1,NA,NA,NA,642
643,4,NA,NA,NA,643
644,2,NA,NA,NA,644
645,1,NA,NA,NA,645
646,1,NA,NA,NA,646
647,2,NA,NA,NA,647
648,4,NA,NA,NA,648
649,1,NA,NA,NA,649
650,4,NA,NA,NA,650
651,1,NA,NA,NA,651
652,1,NA,NA,NA,652
653,2,NA,NA,NA,653
654,3,NA,NA,NA,654
655,3,NA,NA,NA,655
656,3,NA,NA,NA,656
657,2,NA,NA,NA,657
658,2,NA,NA,NA,658
659,3,NA,NA,NA,659
660,4,NA,NA,NA,660
661,1,NA,NA,NA,661
662,3,NA,NA,NA,662
663,4,NA,NA,NA,663
664,4,NA,NA,NA,664
665,3,NA,NA,NA,665
666,3,NA,NA,NA,666
667,2,NA,NA,NA,667
668,2,NA,NA,NA,668
669,4,NA,NA,NA,669
670,3,NA,NA,NA,670
671,4,NA,NA,NA,671
672,1,NA,NA,NA,672
673,1,NA,NA,NA,673
674,1,NA,NA,NA,674
675,1,NA,NA,NA,675
676,1,NA,NA,NA,676
677,4,NA,NA,NA,677
678,3,NA,NA,NA,678
679,3,NA,NA,NA,679
680,2,NA,NA,NA,680
681,4,NA,NA,NA,681
682,3,NA,NA,NA,682
683,1,NA,NA,NA,683
684,3,NA,NA,NA,684
685,4,NA,NA,NA,685
686,4,NA,NA,NA,686
687,2,NA,NA,NA,687
688,3,NA,NA,NA,688
689,1,NA,NA,NA,689
690,1,NA,NA,NA,690
691,3,NA,NA,NA,691
692,3,NA,NA,NA,692
693,4,NA,NA,NA,693
694,2,NA,NA,NA,694
695,4,NA,NA,NA,695
696,2,NA,NA,NA,696
697,1,NA,NA,NA,697
698,2,NA,NA,NA,698
699,2,NA,NA,NA,699
700,4,NA,NA,NA,700
701,4,NA,NA,NA,701
702,3,NA,NA,NA,702
703,1,NA,NA,NA,703
704,2,NA,NA,NA,704
705,3,NA,NA,NA,705
706,2,NA,NA,NA,706
707,4,NA,NA,NA,707
708,1,NA,NA,NA,708
709,3,NA,NA,NA,709
710,1,NA,NA,NA,710
711,1,NA,NA,NA,711
712,1,NA,NA,NA,712
713,3,NA,NA,NA,713
714,4,NA,NA,NA,714
715,3,NA,NA,NA,715
716,1,NA,NA,NA,716
717,2,NA,NA,NA,717
718,3,NA,NA,NA,718
719,2,NA,NA,NA,719
720,1,NA,NA,NA,720
721,3,NA,NA,NA,721
722,1,NA,NA,NA,722
723,1,NA,NA,NA,723
724,1,NA,NA,NA,724
725,2,NA,NA,NA,725
726,4,NA,NA,NA,726
727,3,NA,NA,NA,727
728,3,NA,NA,NA,728
729,2,NA,NA,NA,729
730,2,NA,NA,NA,730
731,1,NA,NA,NA,731
732,4,NA,NA,NA,732
733,4,NA,NA,NA,733
734,4,NA,NA,NA,734
735,2,NA,NA,NA,735
736,3,NA,NA,NA,736
737,1,NA,NA,NA,737
738,2,NA,NA,NA,738
739,4,NA,NA,NA,739
740,1,NA,NA,NA,740
741,3,NA,NA,NA,741
742,1,NA,NA,NA,742
743,4,NA,NA,NA,743
744,1,NA,NA,NA,744
745,1,NA,NA,NA,745
746,1,NA,NA,NA,746
747,1,NA,NA,NA,747
748,4,NA,NA,NA,748
749,3,NA,NA,NA,749
750,3,NA,NA,NA,750
751,4,NA,NA,NA,751
752,1,NA,NA,NA,752
753,3,NA,NA,NA,753
754,3,NA,NA,NA,754
755,4,NA,NA,NA,755
756,1,NA,NA,NA,756
757,4,NA,NA,NA,757
758,2,NA,NA,NA,758
759,2,NA,NA,NA,759
760,3,NA,NA,NA,760
761,3,NA,NA,NA,761
762,3,NA,NA,NA,762
763,2,NA,NA,NA,763
764,1,NA,NA,NA,764
765,2,NA,NA,NA,765
766,4,NA,NA,NA,766
767,3,NA,NA,NA,767
768,3,NA,NA,NA,768
769,4,NA,NA,NA,769
770,3,NA,NA,NA,770
771,3,NA,NA,NA,771
772,2,NA,NA,NA,772
773,3,NA,NA,NA,773
774,1,NA,NA,NA,774
775,4,NA,NA,NA,775
776,1,NA,NA,NA,776
777,1,NA,NA,NA,777
778,3,NA,NA,NA,778
779,3,NA,NA,NA,779
780,1,NA,NA,NA,780
781,1,NA,NA,NA,781
782,2,NA,NA,NA,782
783,1,NA,NA,NA,783
784,2,NA,NA,NA,784
785,2,NA,NA,NA,785
786,2,NA,NA,NA,786
787,2,NA,NA,NA,787
788,1,NA,NA,NA,788
789,2,NA,NA,NA,789
790,2,NA,NA,NA,790
791,1,NA,NA,NA,791
792,2,NA,NA,NA,792
793,4,NA,NA,NA,793
794,4,NA,NA,NA,794
795,3,NA,NA,NA,795
796,1,NA,NA,NA,796
797,1,NA,NA,NA,797
798,1,NA,NA,NA,798
799,3,NA,NA,NA,799
800,2,NA,NA,NA,800
801,4,NA,NA,NA,801
802,4,NA,NA,NA,802
803,1,NA,NA,NA,803
804,2,NA,NA,NA,804
805,3,NA,NA,NA,805
806,4,NA,NA,NA,806
807,4,NA,NA,NA,807
808,4,NA,NA,NA,808
809,4,NA,NA,NA,809
810,2,NA,NA,NA,810
811,1,NA,NA,NA,811
812,1,NA,NA,NA,812
813,4,NA,NA,NA,813
814,2,NA,NA,NA,814
815,1,NA,NA,NA,815
816,4,NA,NA,NA,816
817,2,NA,NA,NA,817
818,3,NA,NA,NA,818
819,2,NA,NA,NA,819
820,4,NA,NA,NA,820
821,4,NA,NA,NA,821
822,2,NA,NA,NA,822
823,2,NA,NA,NA,823
824,2,NA,NA,NA,824
825,4,NA,NA,NA,825
826,1,NA,NA,NA,826
827,3,NA,NA,NA,827
828,4,NA,NA,NA,828
829,2,NA,NA,NA,829
830,3,NA,NA,NA,830
831,2,NA,NA,NA,831
832,3,NA,NA,NA,832
833,1,NA,NA,NA,833
834,4,NA,NA,NA,834
835,4,NA,NA,NA,835
836,2,NA,NA,NA,836
837,3,NA,NA,NA,837
838,4,NA,NA,NA,838
839,1,NA,NA,NA,839
840,4,NA,NA,NA,840
841,2,NA,NA,NA,841
842,1,NA,NA,NA,842
843,2,NA,NA,NA,843
844,3,NA,NA,NA,844
845,3,NA,NA,NA,845
846,2,NA,NA,NA,846
847,1,NA,NA,NA,847
848,3,NA,NA,NA,848
849,2,NA,NA,NA,849
850,2,NA,NA,NA,850
851,1,NA,NA,NA,851
852,2,NA,NA,NA,852
853,4,NA,NA,NA,853
854,3,NA,NA,NA,854
855,4,NA,NA,NA,855
856,3,NA,NA,NA,856
857,4,NA,NA,NA,857
858,1,NA,NA,NA,858
859,4,NA,NA,NA,859
860,1,NA,NA,NA,860
861,2,NA,NA,NA,861
862,1,NA,NA,NA,862
863,4,NA,NA,NA,863
864,2,NA,NA,NA,864
865,1,NA,NA,NA,865
866,4,NA,NA,NA,866
867,2,NA,NA,NA,867
868,2,NA,NA,NA,868
869,1,NA,NA,NA,869
870,3,NA,NA,NA,870
871,2,NA,NA,NA,871
872,1,NA,NA,NA,872
873,2,NA,NA,NA,873
874,1,NA,NA,NA,874
875,2,NA,NA,NA,875
876,1,NA,NA,NA,876
877,3,NA,NA,NA,877
878,3,NA,NA,NA,878
879,4,NA,NA,NA,879
880,4,NA,NA,NA,880
881,1,NA,NA,NA,881
882,1,NA,NA,NA,882
883,3,NA,NA,NA,883
884,2,NA,NA,NA,884
885,2,NA,NA,NA,885
886,1,NA,NA,NA,886
887,2,NA,NA,NA,887
888,1,NA,NA,NA,888
889,2,NA,NA,NA,889
890,4,NA,NA,NA,890
891,3,NA,NA,NA,891
892,1,NA,NA,NA,892
893,2,NA,NA,NA,893
894,1,NA,NA,NA,894
895,1,NA,NA,NA,895
896,4,NA,NA,NA,896
897,2,NA,NA,NA,897
898,4,NA,NA,NA,898
899,2,NA,NA,NA,899
900,2,NA,NA,NA,900
901,1,NA,NA,NA,901
902,3,NA,NA,NA,902
903,2,NA,NA,NA,903
904,1,NA,NA,NA,904
905,2,NA,NA,NA,905
906,2,NA,NA,NA,906
907,2,NA,NA,NA,907
908,4,NA,NA,NA,908
909,1,NA,NA,NA,909
910,2,NA,NA,NA,910
911,2,NA,NA,NA,911
912,3,NA,NA,NA,912
913,3,NA,NA,NA,913
914,2,NA,NA,NA,914
915,1,NA,NA,NA,915
916,3,NA,NA,NA,916
917,2,NA,NA,NA,917
918,1,NA,NA,NA,918
919,2,NA,NA,NA,919
920,1,NA,NA,NA,920
921,2,NA,NA,NA,921
922,1,NA,NA,NA,922
923,3,NA,NA,NA,923
924,1,NA,NA,NA,924
925,4,NA,NA,NA,925
926,2,NA,NA,NA,926
927,4,NA,NA,NA,927
928,1,NA,NA,NA,928
929,1,NA,NA,NA,929
